ID,חברה,מס' אתר,עיר,כתובת האתר,רשות מקומית,תחום שיפוט,X_ITM,Y_ITM,סוג אתר,תאריך היתר הקמה,תאריך היתר הפעלה,בדיקה תקופתית אחרונה,היתר קרינה,עוצמה מרבית תיאורטית בµW לסמר,תוצאה מירבית ב% ביחס לסף הבריאות,תאור נקודה בה התקבלה תוצאה מירבית,טכנולוגיית שידור
8228,פלאפון,340127,רמת גן,ז`בוטינסקי 2,רמת גן,רמת גן,181394,665504,אתר זעיר פנימי,08/12/2016,25/01/2023,08/01/2023,יש היתר,18.3,3.589,מול אנטנה פנל במרחק 0.5 מטר ממנה,דור 3 4
5214,סלקום,2123,כפר המכבי,קיבוץ כפר המכבי,זבולון,כפר ביאליק,211024,747279,תורן קרקעי,07/11/2022,12/07/2023,08/02/2023,יש היתר,4.5,0.665,מבנה נטוש,דור 2 3 4 5
3757,פלאפון,811102,ראשון לציון,"סינמה סיטי ראשל""צ",ראשון לציון,ראשון לציון,178474,654634,אתר זעיר פנימי,04/11/2014,13/02/2023,08/02/2023,יש היתר,35.1,5.688,מול  אנטנה כלל כיוונית במרחק 0.6 מטר ובכיוו,דור 3 4
914,PHI (משרת את הוט ופרטנר),WI6347B,ראשון לציון,שד` משה דיין פינת אברהם בר,עירית ראשון לציון,ראשון לציון,178498,654585,אתר זעיר פנימי,30/10/2014,13/02/2023,08/02/2023,יש היתר,35.1,5.69,מפלס הרצפה,דור  3 4
4769,סלקום,1840,"גבעת ניל""י",בכניסה לגבעת נילי,אלונה,אלונה,203429,717953,תורן קרקעי,15/06/2011,18/05/2023,08/02/2023,יש היתר,.0,0,אין אזור מאוכלס ברציפות,דור 2 3 4
6381,סלקום,782,בנימינה-גבעת עדה,מטעי אפרסמונים על הכביש לגבעת עדה,בנימינה-גבעת עדה,בנימינה גבעת עדה,199851,713066,תורן קרקעי,17/03/2019,18/05/2023,08/02/2023,יש היתר,.0,0,אין אזור מאוכלס ברציפות,דור 2 3 4
7704,סלקום,21241,ראשון לציון,סינמה סיטי שד` משה דיין פינת רח` אברהם בר,ראשון לציון,ראשון לציון,178548,654646,אתר זעיר פנימי,29/10/2014,22/05/2023,08/02/2023,יש היתר,35.1,5.688,רצפה,דור 3 4
58,PHI (משרת את הוט ופרטנר),NS3746B,בת חפר,"בת חפר משאבת  מים - שת""פ פלאפון",מ.מקומית בת חפר,עמק חפר,200780,693246,תורן קרקעי,06/05/2025,26/02/2023,08/02/2023,יש היתר,.0,0,לא נמצאו אזורים מאוכלסים ברציפות בקרבת האתר,דור  2 3 4 5
6438,סלקום,2758,קרית אתא,כ-500 מ` דר` מז` מצומת סומך,זבולון,חסר מעמד,214177,745471,תורן קרקעי,05/12/2022,30/07/2023,08/02/2023,יש היתר,.0,0,אין אזור מאוכלס ברציפות,דור 2 3 4 5
8071,סלקום,4482,רגבים,רגבים,מנשה,מנשה,204932,714488,תורן קרקעי,21/11/2022,30/07/2023,08/02/2023,יש היתר,.0,0,אין אזור מאוכלס ברציפות,דור 2 3 4 5
6259,פלאפון,660111,כפר רופין,:  סמוך לאסם תבואה בשדות כפר רופין,בקעת בית שאן,בקעת בית שאן,252246,706309,תורן קרקעי,17/03/2025,16/03/2023,08/03/2023,יש היתר,.0,0,אין אזור מאוכלס ברציפות,דור 3 4
197,PHI (משרת את הוט ופרטנר),JW1074H,כפר שמואל,מחלף ענבה,מ.א גזר,גזר,194174,645165,תורן קרקעי,29/08/2017,21/03/2023,08/03/2023,יש היתר,1.5,0.19,רמה זו צפויה במפלס הקרקע מול סקטורA/I במרחק 75 מטר,דור  3 4
1673,PHI (משרת את הוט ופרטנר),SO5317D,כפר דניאל,גימזו כפר דניאל,מ.א חבל מודיעין,כפר דניאל,193546,648596,תורן קרקעי,25/01/2018,23/03/2023,08/03/2023,יש היתר,.0,0,אין אזור מאוכלס ברציפות,דור  2 3 4
3263,פלאפון,620222,טבריה,גדוד ברק 1,טבריה,טבריה,251058,744314,אתר זעיר פנימי,02/07/2018,16/05/2023,08/05/2023,יש היתר,17.1,3.403,מול אנטנה כלל כיוונית במרחק 0.5 מטר ממנה.,דור 3
2108,PHI (משרת את הוט ופרטנר),IN0498C,טבריה,ביג טבריה,עירית טבריה,טבריה,250270,744039,אתר זעיר פנימי,19/12/2024,16/05/2023,08/05/2023,יש היתר,34.5,6.47,במפלס הרצפה מול אנטנה כלל כיווני ת במרחק 0.5 מטר,דור  3 4
3256,פלאפון,620151,טבריה,ברחוב יהודה הלוי  פינת בן זכאי,טבריה,טבריה,250272,744008,אתר זעיר פנימי,16/12/2024,18/05/2023,08/05/2023,יש היתר,49.5,7.121,מול אנטנה כלל כיווני ת במרחק 0.5 מטר ממנה  .,דור 3 4
7393,פלאפון,330440,תל אביב,תל אביב,תל אביב יפו,תל אביב יפו,179366,663474,אתר זעיר פנימי,30/06/2015,22/05/2023,08/05/2023,יש היתר,35.2,5.686,במפלס הרצפה,דור 3 4
4006,סלקום,22041,טבריה,קניון BIG FASHION רח` יהודה הלוי,טבריה,טבריה,250300,744066,אתר זעיר פנימי,22/07/2015,27/08/2023,08/05/2023,יש היתר,49.5,7.121,רצפה,דור 3 4
3006,סלקום,1417,תל אביב -יפו,דרך מנחם בגין 23,תל אביב -יפו,תל אביב יפו,179330,663479,אתר זעיר פנימי,28/06/2015,27/08/2023,08/05/2023,יש היתר,35.2,5.686,רצפה,דור 3 4
5973,סלקום,682,יהל,בקיבוץ,חבל אילות,חבל אילות,214153,451584,תורן קרקעי,06/03/2023,04/12/2023,08/06/2023,יש היתר,.0,0,אין אזור מאוכלס ברציפות,דור 2 3 4
8252,פלאפון,610298,כפר גלעדי,כפר גלעדי,גליל עליון,הגליל העליון,254555,794180,תורן קרקעי,17/04/2023,21/06/2023,08/06/2023,יש היתר,9.3,1.258,במבנה חד קומתי,דור 3 4 5
4466,סלקום,22189,אילת,תמנע,חבל אילות,חבל אילות,200386,404016,אתר זעיר פנימי,29/07/2018,27/08/2023,08/06/2023,יש היתר,25.5,5.141,רצפה,דור 2 3 4
